Table_Name,Table_Description,Column_Name,Column_Description,Data_Type,Size,Nullable
CUP003,Customer Master File,CUBK,Bank Number,NUMERIC,,Y
CUP003,Customer Master File,CUNBR,Customer Number,CHARACTER,10,Y
CUP003,Customer Master File,CUSTAT,Record Status,CHARACTER,1,N
CUP003,Customer Master File,CUALT,Alternate Name Address Flag,CHARACTER,1,N
CUP003,Customer Master File,CUNA1,Name Address Line 1,CHARACTER,40,Y
CUP003,Customer Master File,CUNA2,Name Address Line 2,CHARACTER,40,Y
CUP003,Customer Master File,CUNA3,Name Address Line 3,CHARACTER,40,Y
CUP003,Customer Master File,CUNA4,Name Address Line 4,CHARACTER,40,Y
CUP003,Customer Master File,CUNA5,Name Address Line 5,CHARACTER,40,Y
CUP003,Customer Master File,CUNA6,Name Address Line 6,CHARACTER,40,Y
CUP003,Customer Master File,CUZIP,Zip Code,NUMERIC,,N
CUP003,Customer Master File,CUZIP2,Zip Code Suffix,NUMERIC,,N
CUP003,Customer Master File,CUZIP3,Zip Code Route Number,CHARACTER,2,Y
CUP003,Customer Master File,CUZIP4,Zip Code Check Digit,CHARACTER,1,Y
CUP003,Customer Master File,CUSHRT,Short Name,CHARACTER,18,Y
CUP003,Customer Master File,CUSSNR,Social Security Number,DECIMAL,,Y
CUP003,Customer Master File,CUSSTY,Tax Id Number Flag,CHARACTER,1,Y
CUP003,Customer Master File,CUCLPH,Phone Number Cellular,DECIMAL,,Y
CUP003,Customer Master File,CUHMPH,Phone Number Home,DECIMAL,,Y
CUP003,Customer Master File,CUBUPH,Phone Number Business,DECIMAL,,Y
CUP003,Customer Master File,CUPOFF,Officer Primary Id,CHARACTER,5,Y
CUP003,Customer Master File,CUSOFF,User Field 3A,CHARACTER,3,Y
CUP003,Customer Master File,CUPOF1,Officer Secondary Id,CHARACTER,5,Y
CUP003,Customer Master File,CUPOF2,Officer Third Id,CHARACTER,5,Y
CUP003,Customer Master File,CUOPDT,Date Open,NUMERIC,,Y
CUP003,Customer Master File,CUTYPE,Customer Account Type,CHARACTER,2,Y
CUP003,Customer Master File,CUTYP,Customer Account Type1,DECIMAL,,Y
CUP003,Customer Master File,CUSIC,Sic Code,DECIMAL,,Y
CUP003,Customer Master File,CUSEX,Gender Code,CHARACTER,1,Y
